,0,1,2,3,4,5
1302486,4,2008443979,Tue Jun 02 14:08:24 PDT 2009,NO_QUERY,greenyourdecor,"Thanks for all the #EcoMonday love, everyone! Looks like I missed all the fun "
90054,0,1755634634,Sun May 10 09:38:22 PDT 2009,NO_QUERY,fherchie,@archukat @kricket_rc234 Saw a commercial of David Arch on GMA. About SIS. They showed a couple of pics there! Too bad my cam isn't w/ me 
194204,0,1970239216,Sat May 30 03:01:58 PDT 2009,NO_QUERY,Saraswathi_Arya,Phew! I found my bit.ly API key at last. ;) Had to waste at least 15 minutes trying to find it out. BUT Twhirl is not shortening it. 
294350,0,1996571527,Mon Jun 01 15:18:39 PDT 2009,NO_QUERY,Shayanshaukat,does she reply to anyone whose not a celebrity? 
1274768,4,2001008791,Mon Jun 01 23:34:34 PDT 2009,NO_QUERY,joshpenguin,@ashielpenguin lab yu xooo much!  playin' ds (lvln' up an adamant charizard whooo) stoked! 
505112,0,2188308985,Mon Jun 15 21:39:51 PDT 2009,NO_QUERY,MiSSDiOR5,@beautikweem ; lol yu juss made me feel dumb 
1096090,4,1970286012,Sat May 30 03:13:41 PDT 2009,NO_QUERY,pixiestyx22,The movie UP was sooooooo good! Go see it! 
470778,0,2176489795,Mon Jun 15 04:00:48 PDT 2009,NO_QUERY,stc043,Today was Really exhausting ..im gonna take an overdose of sleep 
507740,0,2188977148,Mon Jun 15 22:58:25 PDT 2009,NO_QUERY,heyisabelle_,nawwwwwww  ok..get over it now.
1178553,4,1981597623,Sun May 31 09:29:35 PDT 2009,NO_QUERY,RavenLeader,@SusanPAus  Much appreciated!
1520648,4,2176222460,Mon Jun 15 03:16:02 PDT 2009,NO_QUERY,SarahALSmith,@keisha_buchanan and hello to you too 
1049587,4,1960398879,Fri May 29 07:54:09 PDT 2009,NO_QUERY,din65,@BrittanyASnow Hi!! Brittany 
1450673,4,2062964350,Sun Jun 07 00:53:55 PDT 2009,NO_QUERY,ccndrla,Just joined Twitter! Let's see how I like it. Goodnite 
75199,0,1695081016,Mon May 04 05:08:28 PDT 2009,NO_QUERY,Andiepowpow,May the 4th be with you #starwarsday Still feeling rough 
1050011,4,1960553568,Fri May 29 08:08:35 PDT 2009,NO_QUERY,drew_conrad,park city really is beautiful. almost as beautiful as St George 
686687,0,2251087878,Sat Jun 20 02:23:55 PDT 2009,NO_QUERY,Jessamoose,Prom was amazing! Best night ever i think so. Sorry jam for not seeing you at the end of the night 
1040938,4,1957016096,Thu May 28 23:17:05 PDT 2009,NO_QUERY,MissJenn23,@officialTila Heard ya loud and clear lady! 
381610,0,2052820850,Sat Jun 06 02:09:07 PDT 2009,NO_QUERY,scenexbbyx13,"warning: 4 days w.out cigs... may be bitchy! :X ..if i didn't smoke a pack a day, 4 days would be nothing.. not the case though. "
793014,0,2326482753,Thu Jun 25 07:06:04 PDT 2009,NO_QUERY,vegangymmie,@dallas_news Happy Thursday! No relief for us here  YIKES 100 try to stay cool
156841,0,1956229127,Thu May 28 21:26:32 PDT 2009,NO_QUERY,lisagovea,got a shot in my neck today  now i have 1 side of my body that is numb and tingles .. im not sure how to feel about the non feeling
1333165,4,2016380908,Wed Jun 03 06:40:40 PDT 2009,NO_QUERY,uniformmotion,listening to the new @thesonicyouth while I email... having trouble concentrating! 
758282,0,2295678556,Tue Jun 23 08:14:13 PDT 2009,NO_QUERY,MissJunoo,is missing michael 
908828,4,1750998385,Sat May 09 18:25:29 PDT 2009,NO_QUERY,blossom28,is maxin and relaxin... ahhh 
384655,0,2053451313,Sat Jun 06 04:36:05 PDT 2009,NO_QUERY,chiaraalcazar,I miss hugging you! 
1027881,4,1932527961,Tue May 26 21:39:07 PDT 2009,NO_QUERY,supermomz3,I think Curt finally saw the big picture I have been trying to show him for a long time now  Freedom Let It Ring
878316,4,1685216096,Sat May 02 23:29:24 PDT 2009,NO_QUERY,LadyLynne,@tylertvedt90 no Tyler that would be vain and superficial and you would become a pain in the ass. so dont 
1489594,4,2068724987,Sun Jun 07 14:35:09 PDT 2009,NO_QUERY,minxkitty,"@Forehead119 I would say yes to the number, but I will still be too scared to call as I am a Grand Poulet "
747393,0,2283617931,Mon Jun 22 12:51:24 PDT 2009,NO_QUERY,Spanfeld,@Brand0nn i miss your face 
618756,0,2227645242,Thu Jun 18 13:27:24 PDT 2009,NO_QUERY,Salena,Well my super-fantastic day has pretty much gone to shit. Grrrr 
1562447,4,2186834600,Mon Jun 15 19:24:20 PDT 2009,NO_QUERY,VictoriaWrae,def not able to work ou tonight. But my headache's gone. Now off to sleep 
32666,0,1564308585,Mon Apr 20 02:51:03 PDT 2009,NO_QUERY,timvdl,"Beautiful weather, but have to learn for my test tomorrow  And realize it's  time to update my blog... hopefully I can manage that today"
1149676,4,1978369353,Sat May 30 23:09:11 PDT 2009,NO_QUERY,theJBGurl,And a perfect rainbow never seemed so dull. And we're locked out. never had this brighter glow.. -nick j .. the best songwriter ever 
1481010,4,2066993256,Sun Jun 07 11:33:08 PDT 2009,NO_QUERY,azanders,@QueenBeeOz pocket gnome wuts good. @Ty_Diva says hello 
1408591,4,2055714580,Sat Jun 06 09:49:23 PDT 2009,NO_QUERY,KerriJoe,is pulling into johnson bible college. 
1325451,4,2015139690,Wed Jun 03 03:49:24 PDT 2009,NO_QUERY,kjtphotography,@trishw78 Thanks Trish 
635085,0,2233507908,Thu Jun 18 21:27:46 PDT 2009,NO_QUERY,evantravers,Awww man.... I lost all my playlists too. 
851436,4,1565839039,Mon Apr 20 07:39:55 PDT 2009,NO_QUERY,IBtres,@HiEsso yuuppp! thaaanks! 
1250947,4,1996398900,Mon Jun 01 15:01:12 PDT 2009,NO_QUERY,nicosaurusrawr,My birthday was okay :] lol. I got a laptop and I am currently useing it 
650437,0,2237563488,Fri Jun 19 06:00:34 PDT 2009,NO_QUERY,sinecoff76,"@melbournegirl77 it must be nice , I've never even got a reply from her . But I keep trying "
160776,0,1957145531,Thu May 28 23:38:45 PDT 2009,NO_QUERY,holleeann91,night 5 not talking to my victor  i'm so bored at night now. grrrr i hate this shit
1437009,4,2061099424,Sat Jun 06 20:10:36 PDT 2009,NO_QUERY,Jessicuh_arrr,"watching titanic, eating chexmix, texting harlee  heres another ten bitch do it again!"
1296981,4,2004373174,Tue Jun 02 08:06:03 PDT 2009,NO_QUERY,anneAAM,Chatroll on now 
1046212,4,1957638487,Fri May 29 01:07:39 PDT 2009,NO_QUERY,italylogue,"@ciaoamalfi Excellent, I look forward to it! "
688186,0,2251465544,Sat Jun 20 03:35:40 PDT 2009,NO_QUERY,anothrstupidkid,Lunch and the cafeteria's empty. I feel so friendless 
543879,0,2200915321,Tue Jun 16 19:33:03 PDT 2009,NO_QUERY,mrskaylajonas,"im majorly exhausted but still have to clean the kitchen, do the dishes, clean my bathroom, and take a shower before going to bed. "
486043,0,2181372659,Mon Jun 15 11:44:23 PDT 2009,NO_QUERY,stacyreeves,@LeslieRoark but i just figured it out.. now i feel like an idiot for not backing them up before 
770551,0,2302028111,Tue Jun 23 16:14:20 PDT 2009,NO_QUERY,shosho1,"a good 20 hours of sleep, my bed hair is amazing. my head is still exploding but good news is its travelled down to my ears. yay "
612452,0,2224972645,Thu Jun 18 10:09:19 PDT 2009,NO_QUERY,_happygolucky_,"@Melissajcruz  What's going on, chica?"
516382,0,2191049828,Tue Jun 16 04:24:02 PDT 2009,NO_QUERY,Moosey87,OMC tesco's was so busy today. I don't like. 
3862,0,1468690880,Tue Apr 07 03:11:25 PDT 2009,NO_QUERY,twpsyn,"Arse, totally forgot about a webinar that I wanted to attend this morning. Now I'll never know how to secure virtualised environments  "
298746,0,1997783745,Mon Jun 01 17:27:04 PDT 2009,NO_QUERY,corvustudios,http://twitpic.com/6foix - Down side of driving to SF on a Monday...is coming back 
171296,0,1963171083,Fri May 29 12:18:47 PDT 2009,NO_QUERY,pulpologist,"Rain finally arriving, drat. Guess this means we'll have to picnic in the living room instead of at WolfTrap tonite. "
1418784,4,2057851690,Sat Jun 06 13:47:04 PDT 2009,NO_QUERY,alexleebehan,@hummingbird604 Yes he did! Drop by anytime.  &lt;3
1494861,4,2069807473,Sun Jun 07 16:33:50 PDT 2009,NO_QUERY,HayleyIvy,Enjoying a slight sleep in then off to work. Looking forward to catching up with @jessmuller this week 
1518391,4,2175955390,Mon Jun 15 02:29:28 PDT 2009,NO_QUERY,BoBislav,have a nice sunny monday  http://bit.ly/tpztP
141788,0,1881336911,Fri May 22 04:21:46 PDT 2009,NO_QUERY,thehut_com,@xmasb Correct! But you weren't quick enough - sorry  Try again later...
1463820,4,2064169823,Sun Jun 07 05:27:16 PDT 2009,NO_QUERY,deezydothis,@CaramelPearl finally  wat took u so long?
61084,0,1686607267,Sun May 03 06:06:52 PDT 2009,NO_QUERY,JurgenDoe,@babyducks Always such poor creatures 
1122197,4,1974286335,Sat May 30 12:49:07 PDT 2009,NO_QUERY,VickyMinor,@coollike have a good time in E3  if you get me.. America 
1561747,4,2186652051,Mon Jun 15 19:08:30 PDT 2009,NO_QUERY,genevievedargis,i just watched law &amp; order &amp; thought about @Franklero ahah now watching CSI miami 
1161740,4,1979530938,Sun May 31 03:26:52 PDT 2009,NO_QUERY,sjrobertson,Totally forgot I have a pot of Ben 'n' Jerry's 'Caramel Chew Chew' in the fridge mmmmmm 
884607,4,1686335228,Sun May 03 04:58:04 PDT 2009,NO_QUERY,jason_2008,Just been for a nice walk up in the hills.  Feeling nicely tired now. Maybe a snooze on the sofa is in order 
1318120,4,2014339391,Wed Jun 03 01:12:10 PDT 2009,NO_QUERY,RealChristine,@aaronrothe hahah that's halarious! what kind of dog do u have? 
532327,0,2196698785,Tue Jun 16 12:49:00 PDT 2009,NO_QUERY,HeheBlink,"@EmmaaLouu lol, no i wont and danielle mite be going  bt we can just rub the alcohol in her face lol x"
240285,0,1980842292,Sun May 31 07:48:43 PDT 2009,NO_QUERY,AllEyezOnHtown,I didn't @HDkelz not really anyway  to much Liquor is stll in my body! went to sleep at 7am up at 9
70077,0,1693532796,Sun May 03 22:51:44 PDT 2009,NO_QUERY,emilietumale,Fuck!  Stats is a bitch 
596301,0,2218984313,Wed Jun 17 23:32:57 PDT 2009,NO_QUERY,shiftintomanic,is feeling a little weird with the music tonight. so very very tired. maybe its the caffeine on that salad. 
1311854,4,2013534956,Tue Jun 02 22:55:03 PDT 2009,NO_QUERY,SKMusic,Ummmm. Who invented profanity? Why is bitch a curse word? Did they say curse word when jesus walked the earth? I'm being serious here. 
934828,4,1792588984,Wed May 13 23:35:57 PDT 2009,NO_QUERY,Lauren_Hannah,"@ZackShapiro Ah, so nothing really cool that I need? "
55422,0,1685075192,Sat May 02 22:58:45 PDT 2009,NO_QUERY,jemjem1983,Now walking to work!! Tooooooo early!!! 
913466,4,1752618537,Sat May 09 22:26:40 PDT 2009,NO_QUERY,katwoman327,Thank you all for your incredible support and encouragement-it means so much!! You constantly bless me &amp; I am thankful for you!! 
891905,4,1690981039,Sun May 03 16:49:22 PDT 2009,NO_QUERY,LaCheleMarie,"@summerbreezeNYC oh good mami, about to eat some snow crabs legs i just copped  I heard its been raining fa dayz in NY, you miss FLA y ..."
104791,0,1822683977,Sat May 16 20:08:42 PDT 2009,NO_QUERY,Lynda511,@AlexAllTimeLow awww  i'm glad you're okay! alex = trooper.
1051167,4,1961050738,Fri May 29 08:54:38 PDT 2009,NO_QUERY,xsuperman24x,Im number 3 on the ReverbNation charts for Hip Hop in the 919. 
699555,0,2254485629,Sat Jun 20 09:49:20 PDT 2009,NO_QUERY,KatDizon18,talked to my brother. Found out something. It's so sad.  using my bro's phone. 
526052,0,2194131733,Tue Jun 16 09:23:10 PDT 2009,NO_QUERY,tom_woodcock,"@playboybunnyx mmm i still have one left! ;) i actually forgot about them. but i just ate the whole thing on my own, now i feel bad..  "
468099,0,2175922770,Mon Jun 15 02:23:31 PDT 2009,NO_QUERY,rochellllle,Awake. School in about an hour. Wish it wasn't- gotta stick it out til friday 
323263,0,2005114787,Tue Jun 02 09:13:46 PDT 2009,NO_QUERY,AnastasiaVanite,I had the worst dream a person can possibly have. 
1515825,4,2175646482,Mon Jun 15 01:35:04 PDT 2009,NO_QUERY,TweetingGirl,Follow Moi and I shall follow You back  xoxx
569209,0,2207868144,Wed Jun 17 08:29:12 PDT 2009,NO_QUERY,ootifferszoo,@iheartPSU lol. he is yumm r u still up here at SC?? nd u dont tell anyone 
631344,0,2232296677,Thu Jun 18 19:43:11 PDT 2009,NO_QUERY,xhugg,still sad about 2morrow! :'( imma cry watch. and imma hug EVERYONE! to show the love. 
1027661,4,1932494084,Tue May 26 21:34:53 PDT 2009,NO_QUERY,ForestMaid,@Ivonbartok - ... and I dont have many friends. But those friends I do have can handle being told the truth about their nosy habits. 
827164,4,1556810608,Sun Apr 19 00:27:32 PDT 2009,NO_QUERY,OopsImFlash,lmao at me hacking the besties acount changing everything.. &amp;&amp; acting non-chalant on the phone about it.   hehehehe 
1125953,4,1974943212,Sat May 30 14:07:22 PDT 2009,NO_QUERY,LaLaMiniMuffin,Urgh. Gotta go start packing and start sorting out  what i need to do tomorrow for LANZOROTE MONDAY!! 
1498265,4,2070542972,Sun Jun 07 17:52:58 PDT 2009,NO_QUERY,xoHerbieox,@DrTBrennan Goodnight! Feel better soon.  @AgentBooth only worries because he cares so much. 
457809,0,2071702874,Sun Jun 07 19:47:53 PDT 2009,NO_QUERY,P_luvs_IT,My back hurts 
1101560,4,1970767364,Sat May 30 05:08:21 PDT 2009,NO_QUERY,cheery_sunshine,haha Reese on the Ellen Show. Hilarious! 
546433,0,2201754182,Tue Jun 16 20:43:29 PDT 2009,NO_QUERY,MelissaKellas,@xina2 oh poor little guy!?  what was in that pool water?!  
766272,0,2299839025,Tue Jun 23 13:24:36 PDT 2009,NO_QUERY,smartwatermelon,@Morrigoon Sorry to hear that 
1240430,4,1993792424,Mon Jun 01 10:56:22 PDT 2009,NO_QUERY,sjlincoln,@DakotaVegas You are awesome 
1227381,4,1991001093,Mon Jun 01 06:12:10 PDT 2009,NO_QUERY,ShesElectric_,@A_rEVOLution Me too! Going out to sunbathe in a bit!  heheeeeeeeee. missed you on here!  xxxxxxx
1473508,4,2065560327,Sun Jun 07 08:50:46 PDT 2009,NO_QUERY,sontschbob,really enjoyed the performance of &quot;Rudol&quot; last night   *thumbs up*
1275741,4,2001123631,Mon Jun 01 23:54:46 PDT 2009,NO_QUERY,joecbarnes,good night tweeps 
1285079,4,2002111784,Tue Jun 02 03:10:52 PDT 2009,NO_QUERY,mundusvivendi,"@foodiesarah motivations to blog? diverse and sundry, surely!  for me, it's always self-expression and knowledge sharing #blogging"
1442298,4,2061951655,Sat Jun 06 21:59:21 PDT 2009,NO_QUERY,LindsayAlright,Saw The Hangover! Funny movie! 
1327944,4,2015451304,Wed Jun 03 04:41:57 PDT 2009,NO_QUERY,Inksie,@AuthoressAnon How long do you expect your story to end up? I think we might have a similiar amount to go - I'm at 62k aiming for 70k 
677708,0,2248767825,Fri Jun 19 21:09:07 PDT 2009,NO_QUERY,yoshitakashou,I've just found out that twitter's functions are too simple to delete a tweet i've just posted--OR i don't know how 
1564125,4,2187227032,Mon Jun 15 19:58:38 PDT 2009,NO_QUERY,gagemichaelw,1 vs. 100 starting now! Come join and try to beat me  hehehe
559266,0,2204938305,Wed Jun 17 03:31:50 PDT 2009,NO_QUERY,deliaheartsyou,@yungseng holy shit are you serious? i just want igcse's over and done with man.. so stressful 
708933,0,2257458185,Sat Jun 20 14:22:08 PDT 2009,NO_QUERY,brookeschwab,i think i am getting depressed.....i don't want to leave my baby for a week and a half. 
1466287,4,2064458292,Sun Jun 07 06:19:19 PDT 2009,NO_QUERY,twebbstack,"@jamesmachan &gt; cream together  okay? now @Hayl3eMarie stop tweeting me lies, and well leave it to the phone "
1364917,4,2049857936,Fri Jun 05 17:37:34 PDT 2009,NO_QUERY,NadiaFN,@DavidArchie Haha. I like windy days! Do you? 
862851,4,1676974246,Fri May 01 23:56:21 PDT 2009,NO_QUERY,Gia_Pet,@morjana I'm going to give that a try - Thank you 
827608,4,1556879085,Sun Apr 19 00:48:13 PDT 2009,NO_QUERY,tweetiecub,@AmyNicolee Really? How do you know? I saw the left-handed store for the 1st time in SF recenty 
414368,0,2060808261,Sat Jun 06 19:37:04 PDT 2009,NO_QUERY,JerzeeGrlDee,So rico leavin today is hittin me now and i cant stop cryin.. Ugh!!! I @ guess i am gonna miss him.. 
6684,0,1469522375,Tue Apr 07 06:38:13 PDT 2009,NO_QUERY,uberpat,"@missmahget I think only girls sleep on their hands, cause I always hear of girls waking up with F's or X's on their cheeks.  That sucks "
45290,0,1677110614,Sat May 02 00:30:17 PDT 2009,NO_QUERY,smartestgames,Someone in UNITED STATES didn't like Green Terror http://www.smartestgames.com/gotd.php 
946901,4,1822864327,Sat May 16 20:33:55 PDT 2009,NO_QUERY,JennE669,TWitter!!! Finally joined  Follow me i'll follow u :d
976102,4,1833587634,Sun May 17 23:46:30 PDT 2009,NO_QUERY,MeldiggityDog,Just Joined Twitter! 
365201,0,2048464886,Fri Jun 05 15:14:33 PDT 2009,NO_QUERY,1hipsterdoofus,Only have one more night with my baby boy before he flies  back to LA.    So we are gonna go play outside.
270277,0,1989795387,Mon Jun 01 02:50:14 PDT 2009,NO_QUERY,erikargarcia,@rakelgerero i need to find something else hahaha we just had our recital! woohoo! p.s. that june deadline came a little early 
642781,0,2235594311,Fri Jun 19 01:35:35 PDT 2009,NO_QUERY,MittyP,An amazing department footy game shame it was a draw.... no bragging right available 
947708,4,1823153482,Sat May 16 21:14:41 PDT 2009,NO_QUERY,ShiShi0212,Watching SNL with my Babe now...Can't wait to watch the new Dane Cook show tomorrow night 
1258047,4,1997828593,Mon Jun 01 17:31:38 PDT 2009,NO_QUERY,_misspixie_,At The Proprosal premiere!!! 
1410596,4,2056314799,Sat Jun 06 10:55:17 PDT 2009,NO_QUERY,TiLi_cR,"@KimKardashian i did that once and itÂ´s so cool, cause everithing itÂ´s easier, itÂ´s gonna be weard at the begginig but you get used to it "
1132455,4,1976015254,Sat May 30 16:24:12 PDT 2009,NO_QUERY,CandyKID,"Is busting this fucking rut, shattered the fucking face of it! Who wants to join me? "
1414769,4,2057100279,Sat Jun 06 12:22:17 PDT 2009,NO_QUERY,hotbabe96,graduated   grad parties today..should be fun 
533395,0,2197125799,Tue Jun 16 13:22:34 PDT 2009,NO_QUERY,bus_it_lady,#haveyouever cooked for your boyfriend and later he got sick....   
263794,0,1986656627,Sun May 31 19:08:31 PDT 2009,NO_QUERY,lifesaver45,"@ijustine I can't wait to watch it, I have to wait a little while.. "
442853,0,2067393351,Sun Jun 07 12:15:52 PDT 2009,NO_QUERY,cdavis1962,@RobynBryant we should be having brunch right now 
604196,0,2221877447,Thu Jun 18 06:08:49 PDT 2009,NO_QUERY,JMarie823,@SweetT4VT Yeah I noticed you texted me at 4:30...Ahh the life of a non-working girl...you can stay up that late and sleep in  hehe :-*
1207388,4,1988690548,Sun May 31 23:05:44 PDT 2009,NO_QUERY,capnmarrrrk,@majidrazvi Chicken &amp; the egg. Yes. chickenegg transcendent oneandsame #duh 
868641,4,1677977377,Sat May 02 04:57:20 PDT 2009,NO_QUERY,tinkerdust69,chilling ..horned up and looking .. hit me up 
436243,0,2065618171,Sun Jun 07 08:57:48 PDT 2009,NO_QUERY,Trapes,@RichardMadeley Bugger where you off to then? Wasn't sure if this was the real you at first now got to find you all over again 
551067,0,2203068956,Tue Jun 16 22:58:06 PDT 2009,NO_QUERY,Anesia,@Swiz_NZ really? wow...then wats the damn point! 
160611,0,1957109983,Thu May 28 23:32:44 PDT 2009,NO_QUERY,Kurty4lyf,Omg going to die of swine flu when I go to Melbourne 
805036,4,1468601152,Tue Apr 07 02:39:37 PDT 2009,NO_QUERY,hilzfuld,@Wyldceltic1 I'm liking it 
343265,0,2015428413,Wed Jun 03 04:38:20 PDT 2009,NO_QUERY,BTeneshaB,@lezbejka lol I know. I've never really been interested for some reason. 
914197,4,1752800193,Sat May 09 23:02:01 PDT 2009,NO_QUERY,yayformarissa,Excited for enfest yaaaay 
699400,0,2254432928,Sat Jun 20 09:44:29 PDT 2009,NO_QUERY,alliejvilla,At my dance show dress rehearsal. And there is no wi-fi 
212626,0,1974784799,Sat May 30 13:50:23 PDT 2009,NO_QUERY,LacyKarr,Looks like Beyonce's &quot;I Am....Sasha Fierce&quot; tour is gonna be late coming to the states this year.  http://tinyurl.com/p3mvmy
1061887,4,1963930918,Fri May 29 13:28:02 PDT 2009,NO_QUERY,super__mario,@bisante watching now  cba to set up an account :L
560824,0,2205277008,Wed Jun 17 04:22:52 PDT 2009,NO_QUERY,ssamhartt,@totallymusikmad one of the ones we got  yelow and blak one
931915,4,1770952758,Mon May 11 22:43:44 PDT 2009,NO_QUERY,brooklynncouch,"yep it was me, not twitter! goodnite "
59222,0,1686087441,Sun May 03 03:41:24 PDT 2009,NO_QUERY,LoonyBookworm,I just had the idea to go to the &quot;Naschmarkt&quot;. It's a very famous mart in Vienna... But it's closed on sunday 
98575,0,1793346151,Thu May 14 02:20:13 PDT 2009,NO_QUERY,GreenWolfPro,I put on shorts today but I may have made a mistake 
746661,0,2283156701,Mon Jun 22 12:16:29 PDT 2009,NO_QUERY,alexwilliamson,@_georgie not even in bed yet? it's 5am and i have to get out of bed now... 
163411,0,1958042421,Fri May 29 02:27:58 PDT 2009,NO_QUERY,patriciaburgos,im so hungry and i have nothing to eat 
733394,0,2264306060,Sun Jun 21 03:26:43 PDT 2009,NO_QUERY,hannahthebash,is revising maths on GCSE bitesize - ughhhh! Hard work = 
227758,0,1978124097,Sat May 30 22:30:16 PDT 2009,NO_QUERY,asnallar,"@MariahCarey Hi, MCC, if someone criminally sings &amp; murders your songs, especially if it's ABMB, can you sue them? It's not fair to you "
1449076,4,2062803926,Sun Jun 07 00:21:14 PDT 2009,NO_QUERY,natsnapper,"@Gailporter morning lovely, have followed your charity with absolute pleasure  follow me &amp; be my 5th &amp; loveliest celeb follower??  x x"
1468823,4,2064799695,Sun Jun 07 07:11:55 PDT 2009,NO_QUERY,jesslogan79,"@taylorswift13 You R performing in my town tonight. My 4 yr old daughter is upset we can't go, but you all sold out. Hope u enjoy urself! "
1584242,4,2190537163,Tue Jun 16 03:00:49 PDT 2009,NO_QUERY,bonjourcourtney,"ha my sister just goes &quot;oh look, he must be the bumper&quot; pointing towards the bouncer. too funny "
1347620,4,2044630046,Fri Jun 05 09:37:08 PDT 2009,NO_QUERY,ameliapaulette,"no work, yeah im happy as shit.  paychecks today, heres to hoping its a fat one  *xoxo amelia"
1581966,4,2190256546,Tue Jun 16 02:12:37 PDT 2009,NO_QUERY,kenny_wordsmith,@ayhen22 welcome aboard! 
1558670,4,2185893531,Mon Jun 15 18:03:31 PDT 2009,NO_QUERY,LittleLytle,@dipphoto Not at all!  Love the clip!
257124,0,1984892689,Sun May 31 16:01:00 PDT 2009,NO_QUERY,ColourCrazeXD,"Need to get to bed, school in the morning, but cant sleep!!!   aaaaahhhhhh"
298812,0,1997802684,Mon Jun 01 17:29:03 PDT 2009,NO_QUERY,Samb_1991,Reading www.pprune.org for information about the latest AF crash 
698036,0,2253996323,Sat Jun 20 09:04:05 PDT 2009,NO_QUERY,hilaryjp,@chrispallett Missed my house too 
759487,0,2296252145,Tue Jun 23 08:57:21 PDT 2009,NO_QUERY,neekbreek,@1stcomesthefall LOL idk he just scared me  he was like killing everyone but wouldnt come in our house &amp; i couldnt find my mom
595592,0,2218807966,Wed Jun 17 23:11:16 PDT 2009,NO_QUERY,photogirl32,Up with a sick kid 
20216,0,1557025765,Sun Apr 19 01:35:49 PDT 2009,NO_QUERY,bridget_m_,@ruby_may ahhhh that's whats gian was.. how was yours? sorry I couldn't come   xx
248093,0,1982630690,Sun May 31 11:35:34 PDT 2009,NO_QUERY,sxyanddy,bad time goes on....nadal out of d French Open...n me still warming my ass on d bed 
976014,4,1833577988,Sun May 17 23:44:37 PDT 2009,NO_QUERY,BoyzLifeWestZon,@LindsayWolves lol... was on my phone while he was out  xx
1370643,4,2051051353,Fri Jun 05 19:46:22 PDT 2009,NO_QUERY,StephanieLW08,"@nhoustonreed  I was upset you weren't at the awards, I was excited to see what u were going to wear. U have great fashion sense! "
